# Server version 0.08 running on fbrizu:8123
# Game ID: 5
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sun Mar 30 20:48:38 EDT 2014
# Player 1: Player-0, 'Human', running on fbrizu
# Player 2: Player-1, 'omni', running on fbrizu
# Player 3: Player-2, 'omni', running on fbrizu
# Player 4: Player-3, 'omni', running on fbrizu
START Player-0 Human
START Player-1 omni
START Player-2 omni
START Player-3 omni
0 (2,1) (2,3)
0 null null
1 (14,2) (12,2)
1 (12,2) (14,2)
1 (14,2) (12,2)
1 null null
2 (2,13) (4,15)
2 null null
3 (13,13) (13,12)
0 (1,2) (1,4)
0 null null
1 (15,3) (14,4)
2 (3,15) (3,13)
2 null null
3 (14,12) (14,11)
0 (0,2) (0,4)
0 null null
1 (14,4) (14,2)
1 (14,2) (14,4)
1 (14,4) (14,2)
1 (14,2) (14,4)
1 (14,4) (14,2)
1 null null
2 (2,14) (4,12)
2 (4,12) (2,14)
2 (2,14) (4,12)
2 (4,12) (2,14)
2 (2,14) (4,14)
2 (4,14) (2,14)
2 (2,14) (4,14)
2 (4,14) (2,14)
2 null null
3 (12,15) (11,15)
0 (0,4) (2,4)
0 null null
1 (14,1) (12,3)
1 (12,3) (14,1)
1 null null
2 (1,13) (3,15)
2 (3,15) (5,15)
2 (5,15) (3,15)
2 null null
3 (13,12) (13,13)
0 (0,0) (0,2)
0 (0,2) (0,4)
0 null null
1 (13,2) (11,0)
1 (11,0) (13,2)
1 null null
2 (3,15) (5,15)
2 (5,15) (3,15)
2 (3,15) (1,13)
2 (1,13) (1,11)
2 (1,11) (1,13)
2 (1,13) (3,15)
2 (3,15) (5,15)
2 null null
3 (13,14) (12,15)
GAMEOVER USER CANCEL
UNDECIDED
# Game ended: Sun Mar 30 21:10:52 EDT 2014
