# Server version 0.08 running on fbrizu:8123
# Game ID: 44
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 01 20:31:36 EDT 2014
# Player 1: Player-0, 'omni', running on fbrizu
# Player 2: Player-1, 'random', running on fbrizu
# Player 3: Player-2, 'random', running on fbrizu
# Player 4: Player-3, 'random', running on fbrizu
START Player-0 omni
START Player-1 random
START Player-2 random
START Player-3 random
0 (1,2) (2,3)
1 (15,3) (14,4)
2 (1,15) (3,13)
2 null null
3 (14,12) (13,11)
0 (1,3) (2,4)
1 (13,2) (13,3)
2 (0,12) (1,11)
3 (13,15) (11,15)
3 null null
0 (0,2) (1,3)
1 (15,2) (13,2)
1 null null
2 (1,11) (1,10)
3 (13,13) (13,12)
0 (1,3) (3,5)
0 null null
1 (13,0) (15,2)
1 (15,2) (13,4)
1 null null
2 (1,12) (1,11)
3 (13,12) (12,13)
0 (1,1) (3,3)
0 null null
1 (13,4) (15,2)
1 (15,2) (13,0)
1 (13,0) (11,2)
1 null null
2 (1,11) (2,12)
3 (12,14) (11,13)
0 (2,2) (4,4)
0 null null
1 (13,2) (11,0)
1 null null
2 (2,14) (1,15)
3 (11,13) (12,12)
0 (3,5) (4,6)
1 (14,2) (13,2)
2 (3,14) (4,15)
3 (14,13) (13,12)
0 (2,0) (4,2)
0 null null
1 (12,0) (12,2)
1 (12,2) (10,2)
1 (10,2) (12,2)
1 (12,2) (12,0)
1 (12,0) (14,2)
1 null null
2 (2,12) (2,14)
2 null null
3 (12,12) (12,11)
0 (3,3) (5,5)
0 null null
1 (11,0) (11,1)
2 (3,13) (2,12)
3 (12,15) (11,14)
0 (0,0) (1,1)
1 (13,2) (15,4)
1 null null
2 (2,14) (3,14)
3 (13,11) (11,11)
3 (11,11) (13,11)
3 (13,11) (13,13)
3 (13,13) (11,13)
3 (11,13) (13,13)
3 (13,13) (13,11)
3 (13,11) (13,13)
3 (13,13) (13,11)
3 (13,11) (13,13)
3 null null
0 (1,1) (2,2)
1 (14,2) (12,0)
1 null null
2 (0,14) (2,14)
2 null null
3 (13,12) (11,10)
3 (11,10) (13,12)
3 null null
0 (4,2) (5,3)
1 (11,2) (13,0)
1 null null
2 (0,13) (0,14)
3 (12,11) (11,12)
0 (3,1) (4,2)
1 (13,0) (13,2)
1 null null
2 (2,13) (1,12)
3 (13,13) (13,15)
3 null null
0 (0,3) (1,4)
1 (15,4) (15,3)
2 (3,14) (2,13)
3 (11,15) (12,14)
0 (2,1) (3,2)
1 (12,1) (11,0)
2 (1,12) (0,11)
3 (11,12) (12,11)
0 (1,4) (2,5)
1 (15,0) (13,0)
1 null null
2 (0,11) (1,11)
3 (15,13) (15,11)
3 null null
0 (3,2) (4,3)
1 (15,1) (15,2)
2 (1,11) (0,12)
3 (12,11) (13,10)
0 (0,1) (1,2)
1 (14,0) (12,2)
1 (12,2) (14,0)
1 (14,0) (14,2)
1 (14,2) (12,2)
1 (12,2) (10,0)
1 (10,0) (12,2)
1 (12,2) (14,2)
1 (14,2) (12,2)
1 (12,2) (10,0)
1 null null
2 (2,15) (0,13)
2 (0,13) (2,15)
2 (2,15) (0,13)
2 (0,13) (2,15)
2 (2,15) (0,13)
2 null null
3 (15,12) (15,10)
3 null null
0 (4,3) (5,4)
1 (12,0) (14,0)
1 (14,0) (12,0)
1 (12,0) (14,2)
1 (14,2) (12,2)
1 (12,2) (14,0)
1 (14,0) (12,2)
1 null null
2 (2,14) (3,13)
3 (11,14) (12,15)
0 (5,4) (6,5)
1 (15,3) (14,2)
2 (3,15) (5,15)
2 (5,15) (3,15)
2 null null
3 (13,15) (13,13)
3 (13,13) (13,15)
3 (13,15) (11,13)
3 (11,13) (13,15)
3 (13,15) (15,13)
3 (15,13) (13,15)
3 (13,15) (11,15)
3 null null
0 (4,6) (5,7)
1 (10,0) (9,0)
2 (1,15) (2,14)
3 (11,15) (10,14)
0 (6,5) (7,6)
1 (14,4) (13,5)
2 (0,13) (0,11)
2 null null
3 (12,13) (11,13)
0 (1,2) (3,4)
0 null null
1 (13,5) (14,6)
2 (1,10) (0,9)
3 (11,13) (10,13)
0 (2,3) (4,5)
0 null null
1 (11,0) (12,1)
2 (2,14) (1,15)
3 (13,12) (13,11)
0 (4,4) (6,6)
0 null null
1 (13,1) (15,1)
1 (15,1) (13,1)
1 (13,1) (11,3)
1 null null
2 (1,15) (2,14)
3 (15,11) (14,11)
0 (3,4) (5,6)
0 null null
1 (12,1) (13,1)
2 (2,12) (1,11)
3 (14,15) (13,15)
0 (5,7) (6,8)
1 (12,2) (12,3)
2 (2,13) (2,15)
2 (2,15) (0,13)
2 (0,13) (2,15)
2 null null
3 (12,14) (12,13)
0 (7,6) (8,7)
1 (14,2) (14,4)
1 (14,4) (12,2)
