# Server version 0.08 running on fbrizu:8123
# Game ID: 49
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 01 21:13:48 EDT 2014
# Player 1: Player-0, 'omni', running on fbrizu
# Player 2: Player-1, 'omni', running on fbrizu
# Player 3: Player-2, 'omni', running on fbrizu
# Player 4: Player-3, 'omni', running on fbrizu
START Player-0 omni
START Player-1 omni
START Player-2 omni
START Player-3 omni
0 (0,1) (2,3)
0 null null
1 (13,1) (12,2)
2 (3,14) (4,13)
3 (15,13) (13,11)
3 null null
0 (2,2) (3,3)
1 (13,2) (12,3)
2 (1,15) (3,13)
2 null null
3 (13,11) (12,10)
0 (0,3) (1,4)
1 (15,3) (14,4)
2 (2,14) (4,12)
2 null null
3 (13,13) (12,12)
0 (3,0) (4,1)
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (4,12) (5,11)
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (1,3) (2,4)
1 (14,3) (13,4)
2 (0,12) (1,11)
3 (15,14) (13,12)
3 null null
0 (1,4) (2,5)
1 (11,4) (10,5)
2 (5,11) (6,10)
3 (13,12) (12,11)
0 (4,1) (5,2)
1 (12,3) (11,4)
2 (0,13) (2,11)
2 null null
3 (12,14) (11,13)
0 (0,0) (2,2)
0 null null
1 (14,4) (13,5)
2 (6,10) (7,9)
3 (13,15) (12,14)
0 (2,3) (3,4)
1 (14,1) (13,2)
2 (2,13) (3,12)
3 (15,12) (14,11)
0 (3,4) (4,5)
1 (13,0) (11,2)
1 null null
2 (7,9) (8,8)
3 (14,14) (13,13)
0 (2,1) (3,2)
1 (13,2) (12,3)
2 (8,8) (9,7)
3 (14,13) (13,12)
0 (5,2) (6,3)
1 (14,2) (13,3)
2 (9,7) (10,6)
3 (14,11) (13,10)
0 (3,1) (4,2)
1 (12,2) (11,3)
2 (1,11) (2,10)
3 (13,10) (12,9)
0 (1,2) (2,3)
1 (12,1) (10,3)
1 null null
2 (10,6) (11,5)
3 (13,12) (11,10)
3 null null
0 (3,3) (4,4)
1 (15,2) (14,3)
2 (2,11) (3,10)
3 (11,11) (10,10)
0 (4,2) (5,3)
1 (14,3) (12,5)
1 null null
2 (3,12) (4,11)
3 (10,10) (9,9)
0 (6,3) (7,4)
1 (11,3) (10,4)
2 (3,13) (4,12)
3 (11,10) (10,9)
0 (1,0) (2,1)
1 (10,5) (9,6)
2 (2,10) (3,9)
3 (12,12) (11,11)
0 (2,3) (3,4)
1 (12,0) (11,1)
2 (3,9) (4,8)
3 (11,13) (10,12)
0 (4,4) (5,5)
1 (12,3) (10,5)
1 (10,5) (8,7)
1 null null
2 (1,14) (2,13)
3 (9,9) (8,8)
0 (5,5) (6,6)
1 (11,1) (10,2)
2 (2,15) (3,14)
3 (13,13) (12,12)
0 (2,0) (3,1)
1 (10,3) (9,4)
2 (3,15) (4,14)
3 (10,12) (9,11)
0 (2,1) (4,3)
0 null null
1 (11,4) (10,5)
2 (3,14) (5,12)
2 null null
3 (14,12) (13,11)
0 (3,1) (4,2)
1 (10,2) (9,3)
2 (1,13) (2,12)
3 (13,11) (11,9)
3 null null
0 (4,5) (5,6)
1 (15,1) (14,2)
2 (0,14) (1,13)
3 (12,11) (11,10)
0 (5,3) (6,4)
1 (9,4) (8,5)
2 (3,10) (4,9)
3 (14,15) (12,13)
3 null null
0 (5,6) (6,7)
1 (8,7) (7,8)
2 (4,14) (5,13)
3 (12,14) (11,13)
0 (6,4) (7,5)
1 (14,2) (12,4)
1 null null
2 (4,11) (5,10)
3 (12,9) (11,8)
0 (4,2) (5,3)
1 (12,5) (11,6)
2 (4,12) (5,11)
3 (12,12) (10,10)
3 null null
0 (7,5) (8,6)
1 (14,0) (13,1)
2 (5,10) (6,9)
3 (13,14) (11,12)
3 null null
0 (1,1) (3,3)
0 null null
1 (10,5) (8,7)
1 null null
2 (4,13) (6,11)
2 null null
3 (10,10) (9,9)
0 (8,6) (9,7)
1 (11,6) (10,7)
2 (1,12) (2,11)
3 (12,13) (10,11)
3 null null
0 (3,4) (4,5)
1 (13,4) (12,5)
2 (2,13) (3,12)
3 (11,12) (9,10)
3 null null
0 (2,5) (3,6)
1 (12,5) (11,6)
2 (6,11) (7,10)
3 (12,15) (11,14)
0 (6,6) (7,7)
1 (12,4) (10,6)
1 null null
2 (3,12) (4,11)
3 (11,10) (9,8)
3 (9,8) (7,6)
3 null null
0 (3,2) (5,4)
0 null null
1 (11,2) (10,3)
2 (4,11) (5,10)
3 (7,6) (6,5)
0 (4,5) (5,6)
1 (11,6) (9,8)
1 null null
2 (1,13) (3,11)
2 null null
3 (10,11) (8,9)
3 null null
0 (2,2) (4,4)
0 null null
1 (10,3) (9,4)
2 (0,15) (1,14)
3 (9,11) (8,10)
0 (2,4) (3,5)
1 (13,1) (12,2)
2 (4,9) (5,8)
3 (12,10) (10,8)
3 (10,8) (8,6)
3 null null
