# Server version 0.08 running on ubuntu:8123
# Game ID: 147
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 16 11:07:13 EDT 2014
# Player 1: Player-0, 'Human', running on localhost
# Player 2: Player-1, 'omni', running on localhost
# Player 3: Player-2, 'omni', running on localhost
# Player 4: Player-3, 'omni', running on localhost
START Player-0 Human
START Player-1 omni
START Player-2 omni
START Player-3 omni
0 (2,2) (3,3)
1 (15,2) (13,4)
1 null null
2 (1,14) (3,12)
2 null null
3 (15,13) (13,11)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (13,0) (11,2)
1 null null
2 (0,13) (2,11)
2 null null
3 (14,12) (12,10)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (12,1) (10,3)
1 null null
2 (1,15) (3,13)
2 null null
3 (13,11) (11,9)
3 null null
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (11,2) (9,4)
1 null null
2 (2,14) (4,12)
2 null null
3 (12,10) (10,8)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,15) (4,13)
2 null null
3 (11,9) (9,7)
3 null null
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (14,0) (12,2)
1 null null
2 (3,14) (5,12)
2 null null
3 (10,8) (8,6)
3 null null
0 (0,2) (2,4)
0 null null
1 (13,1) (11,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (9,7) (7,5)
3 null null
0 (2,0) (4,2)
0 null null
1 (12,2) (10,4)
1 null null
2 (1,12) (3,10)
2 null null
3 (13,15) (11,13)
3 null null
0 (1,3) (3,5)
0 (3,5) (5,5)
0 (5,5) (5,7)
0 null null
1 (11,3) (9,5)
1 (9,5) (7,7)
1 null null
2 (2,11) (4,9)
2 null null
3 (12,14) (10,12)
3 null null
0 (3,1) (5,3)
0 (5,3) (5,5)
0 null null
1 (13,2) (11,4)
1 null null
2 (3,10) (5,8)
2 null null
3 (11,13) (9,11)
3 null null
0 (1,1) (1,3)
0 (1,3) (3,5)
0 null null
1 (12,3) (10,5)
1 null null
2 (4,9) (6,7)
2 null null
3 (10,12) (8,10)
3 null null
GAMEOVER USER CANCEL
UNDECIDED
# Game ended: Wed Apr 16 11:37:44 EDT 2014
