# Server version 0.08 running on ubuntu:8123
# Game ID: 201
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 16 17:46:01 EDT 2014
# Player 1: Player-0, 'Human', running on localhost
# Player 2: Player-1, 'random', running on localhost
# Player 3: Player-2, 'random', running on localhost
# Player 4: Player-3, 'random', running on localhost
START Player-0 Human
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (14,0) (12,2)
1 (12,2) (14,0)
1 (14,0) (12,2)
1 (12,2) (14,0)
1 (14,0) (12,2)
1 null null
2 (3,14) (4,15)
3 (14,13) (12,13)
3 (12,13) (14,13)
3 (14,13) (14,11)
3 (14,11) (14,13)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (12,2) (11,1)
2 (2,13) (3,12)
3 (15,12) (14,11)
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (14,2) (14,0)
1 (14,0) (12,2)
1 null null
2 (1,13) (2,12)
3 (13,14) (12,13)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (12,1) (11,2)
2 (3,12) (4,11)
3 (14,11) (14,10)
0 (0,2) (2,4)
0 null null
1 (14,3) (13,3)
2 (3,15) (5,15)
2 (5,15) (3,15)
2 (3,15) (5,15)
2 null null
3 (13,15) (11,13)
3 null null
0 (2,0) (4,2)
0 null null
1 (15,3) (14,4)
2 (2,12) (1,11)
3 (11,13) (13,15)
3 (13,15) (11,13)
3 (11,13) (13,15)
3 (13,15) (11,13)
3 (11,13) (13,15)
3 (13,15) (11,15)
3 (11,15) (13,15)
3 (13,15) (11,13)
3 (11,13) (13,15)
3 (13,15) (11,13)
3 (11,13) (13,15)
3 null null
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (12,2) (14,0)
1 (14,0) (12,2)
1 (12,2) (14,2)
1 (14,2) (12,4)
1 (12,4) (14,2)
1 (14,2) (12,2)
1 (12,2) (10,2)
1 null null
2 (1,11) (0,11)
3 (14,10) (15,10)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 null null
1 (11,1) (12,1)
2 (4,15) (4,14)
3 (12,14) (13,14)
0 (1,3) (3,5)
0 (3,5) (5,5)
0 (5,5) (5,7)
0 null null
1 (10,2) (12,2)
1 null null
2 (1,12) (2,11)
3 (14,12) (13,11)
0 (3,1) (5,3)
0 (5,3) (5,5)
0 (5,5) (7,5)
0 null null
1 (14,4) (15,5)
2 (4,11) (5,12)
3 (15,10) (14,10)
0 (1,1) (2,2)
1 (13,2) (14,3)
2 (2,11) (3,12)
3 (14,13) (15,12)
0 (1,2) (3,2)
0 (3,2) (5,2)
0 null null
1 (12,2) (14,0)
1 null null
2 (0,11) (0,10)
3 (13,15) (11,15)
3 (11,15) (13,15)
3 null null
0 (2,1) (2,3)
0 (2,3) (2,5)
0 null null
1 (13,3) (14,2)
2 (2,15) (3,15)
3 (13,13) (14,13)
0 (2,2) (2,3)
1 (13,0) (11,0)
1 (11,0) (13,2)
1 (13,2) (11,0)
1 (11,0) (13,0)
1 (13,0) (13,2)
1 (13,2) (13,0)
1 null null
2 (3,12) (4,12)
3 (12,15) (11,15)
